task,dataset,image,sigma255,method,transition,dx,dy,klt_survival,klt_epe,klt_bad1,klt_bad3,farneback_epe,farneback_median_epe,farneback_bad1,farneback_bad3,farneback_bias_dx,farneback_bias_dy
tracking_flow,kodak24,kodim01,20,tv_discrepancy,3.0,2.0,1.0,1.0,0.12847059965133667,0.0,0.0,0.14846915006637573,0.1299891173839569,0.0,0.0,0.010078548453748226,0.025330932810902596
tracking_flow,kodak24,kodim01,20,tv_discrepancy,4.0,2.0,1.0,1.0,0.13523223996162415,0.0,0.0,0.16045968234539032,0.13551701605319977,0.0,0.0,-0.006446718238294125,-0.023459941148757935
tracking_flow,kodak24,kodim01,20,tv_discrepancy,5.0,2.0,1.0,1.0,0.14990997314453125,0.0036363636363636364,0.0036363636363636364,0.15810222923755646,0.13288816809654236,0.0,0.0,0.01829236000776291,0.009934830479323864
tracking_flow,kodak24,kodim01,20,tv_discrepancy,6.0,2.0,1.0,1.0,0.13183456659317017,0.0,0.0,0.15027298033237457,0.13362491130828857,0.0,0.0,-0.02149307169020176,-0.0034737568348646164
tracking_flow,kodak24,kodim01,20,tv_chambolle_val,0.0,2.0,1.0,1.0,0.24040938913822174,0.011278195488721804,0.007518796992481203,0.17831110954284668,0.14902403950691223,0.00020525451559934318,0.0,0.0010255068773403764,-0.00317640183493495
tracking_flow,kodak24,kodim01,20,tv_chambolle_val,1.0,2.0,1.0,1.0,0.16396765410900116,0.0,0.0,0.1707339584827423,0.1435059756040573,0.0005571193994839315,0.0,-0.023810191079974174,-0.04575073719024658
tracking_flow,kodak24,kodim01,20,tv_chambolle_val,2.0,2.0,1.0,1.0,0.16116401553153992,0.0,0.0,0.1780010163784027,0.14632059633731842,0.0007330518414262257,0.0,-0.044784292578697205,-0.011924008838832378
tracking_flow,kodak24,kodim01,20,tv_chambolle_val,3.0,2.0,1.0,1.0,0.16043099761009216,0.0,0.0,0.16834720969200134,0.1414841115474701,0.0006744076941121276,0.0,-0.010585019364953041,0.021346943452954292
tracking_flow,kodak24,kodim01,20,tv_chambolle_val,4.0,2.0,1.0,1.0,0.16886214911937714,0.0,0.0,0.17524079978466034,0.14732691645622253,0.00017593244194229416,0.0,-0.007990519516170025,-0.03348611295223236
tracking_flow,kodak24,kodim01,20,tv_chambolle_val,5.0,2.0,1.0,1.0,0.19221465289592743,0.0036363636363636364,0.0036363636363636364,0.17913763225078583,0.14748862385749817,0.0,0.0,0.009341368451714516,0.0018526242347434163
tracking_flow,kodak24,kodim01,20,tv_chambolle_val,6.0,2.0,1.0,1.0,0.1820896714925766,0.0,0.0,0.1786198914051056,0.15353721380233765,0.0005277973258268825,0.0,-0.031201772391796112,-0.00609394907951355
tracking_flow,kodak24,kodim01,20,ectv,0.0,2.0,1.0,1.0,0.15995445847511292,0.0037593984962406013,0.0037593984962406013,0.15448999404907227,0.13147370517253876,0.0,0.0,0.01220592763274908,0.009311389178037643
tracking_flow,kodak24,kodim01,20,ectv,1.0,2.0,1.0,1.0,0.1140875369310379,0.0,0.0,0.13867543637752533,0.11913587152957916,5.864414731409805e-05,0.0,-0.011140728369355202,-0.010382415726780891
tracking_flow,kodak24,kodim01,20,ectv,2.0,2.0,1.0,1.0,0.12044477462768555,0.0,0.0,0.16279739141464233,0.14042091369628906,0.0013781374618813042,0.0,-0.023668043315410614,-0.03424813970923424
tracking_flow,kodak24,kodim01,20,ectv,3.0,2.0,1.0,1.0,0.11331744492053986,0.0,0.0,0.14827869832515717,0.13113930821418762,0.0,0.0,0.023098625242710114,0.020476868376135826
tracking_flow,kodak24,kodim01,20,ectv,4.0,2.0,1.0,1.0,0.11533959954977036,0.0,0.0,0.15335403382778168,0.13309580087661743,0.0,0.0,-0.016876744106411934,-0.023511914536356926
tracking_flow,kodak24,kodim01,20,ectv,5.0,2.0,1.0,1.0,0.11401687562465668,0.0,0.0,0.1504136621952057,0.12704095244407654,0.0,0.0,0.019521424546837807,0.0007613779744133353
tracking_flow,kodak24,kodim01,20,ectv,6.0,2.0,1.0,1.0,0.11763647198677063,0.0,0.0,0.1522371470928192,0.136606827378273,0.0,0.0,-0.020336054265499115,-0.00039625336648896337
tracking_flow,kodak24,kodim01,20,ectv_fidelity,0.0,2.0,1.0,1.0,0.23467527329921722,0.011278195488721804,0.007518796992481203,0.16430094838142395,0.13333112001419067,0.001172882946281961,0.0,-0.0033101746812462807,0.004690040834248066
tracking_flow,kodak24,kodim01,20,ectv_fidelity,1.0,2.0,1.0,1.0,0.15500226616859436,0.0,0.0,0.16912123560905457,0.13248896598815918,0.0014661036828524513,0.0,-0.03523917496204376,-0.054954301565885544
tracking_flow,kodak24,kodim01,20,ectv_fidelity,2.0,2.0,1.0,1.0,0.1485651582479477,0.0,0.0,0.1651543825864792,0.12978224456310272,0.00211118930330753,0.0,-0.040756531059741974,-0.011516988277435303
tracking_flow,kodak24,kodim01,20,ectv_fidelity,3.0,2.0,1.0,1.0,0.1469125598669052,0.0,0.0,0.1596171110868454,0.12350530922412872,0.00211118930330753,0.0,-0.022938931360840797,0.006393720395863056
tracking_flow,kodak24,kodim01,20,ectv_fidelity,4.0,2.0,1.0,1.0,0.1686568558216095,0.0036101083032490976,0.0,0.1718555986881256,0.13353894650936127,0.0018766127140511376,0.0,-0.02240869216620922,-0.027129190042614937
tracking_flow,kodak24,kodim01,20,ectv_fidelity,5.0,2.0,1.0,1.0,0.18649481236934662,0.007272727272727273,0.0036363636363636364,0.17636913061141968,0.13922826945781708,0.002345765892563922,0.0,-0.008932116441428661,-0.0030479561537504196
tracking_flow,kodak24,kodim01,20,ectv_fidelity,6.0,2.0,1.0,1.0,0.1634044349193573,0.003676470588235294,0.0,0.1660906970500946,0.13756410777568817,0.0008796622097114708,0.0,-0.03840973228216171,-0.017418846487998962
tracking_flow,kodak24,kodim01,20,bilateral_val,0.0,2.0,1.0,1.0,0.1446155458688736,0.007518796992481203,0.0037593984962406013,0.12859007716178894,0.10931108891963959,0.0002345765892563922,0.0,0.010050828568637371,-0.007339269854128361
tracking_flow,kodak24,kodim01,20,bilateral_val,1.0,2.0,1.0,1.0,0.10600442439317703,0.0,0.0,0.13175590336322784,0.10837133228778839,0.0007623739150832747,0.0,-0.036407481878995895,-0.0008433455950580537
tracking_flow,kodak24,kodim01,20,bilateral_val,2.0,2.0,1.0,1.0,0.11681438982486725,0.0037593984962406013,0.0,0.13522136211395264,0.11160868406295776,0.00120220501993901,0.0,-0.014930399134755135,-0.03234285116195679
tracking_flow,kodak24,kodim01,20,bilateral_val,3.0,2.0,1.0,1.0,0.10753565281629562,0.0,0.0,0.135563924908638,0.11589455604553223,0.0003225428102275393,0.0,-0.0097274798899889,0.02636398747563362
tracking_flow,kodak24,kodim01,20,bilateral_val,4.0,2.0,1.0,1.0,0.11089388281106949,0.0036101083032490976,0.0,0.13087032735347748,0.10914008319377899,0.000996950504339667,0.0,-0.01793980598449707,-0.013561351224780083
tracking_flow,kodak24,kodim01,20,bilateral_val,5.0,2.0,1.0,1.0,0.1281030774116516,0.0036363636363636364,0.0036363636363636364,0.13397344946861267,0.10617769509553909,0.0013194933145672062,0.0,0.0010104222455993295,-0.016128096729516983
tracking_flow,kodak24,kodim01,20,bilateral_val,6.0,2.0,1.0,1.0,0.11416047811508179,0.003676470588235294,0.0,0.13090817630290985,0.1086033284664154,0.0004398311048557354,0.0,-0.027587389573454857,-0.006941169500350952
