task,dataset,image,quality,method,bpp,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output
jpeg_compression,kodak24,kodim02,20,ectv,0.5873538011695907,26.986649037773482,0.5937204360961914,0.8164072632789612,0.019483108073472977,0.31874731183052063,0.057065047323703766
jpeg_compression,kodak24,kodim02,30,ectv,0.7978801169590644,27.267670735532338,0.591336190700531,0.8205727934837341,0.020694835111498833,0.31874731183052063,0.06346943229436874
jpeg_compression,kodak24,kodim02,50,ectv,1.1440058479532165,27.519656451249517,0.5894025564193726,0.8228046298027039,0.021519137546420097,0.31874731183052063,0.07064250111579895
jpeg_compression,kodak24,kodim02,70,ectv,1.6067251461988303,27.568034170888588,0.5802934169769287,0.8193511962890625,0.022411957383155823,0.31874731183052063,0.07905437797307968
jpeg_compression,kodak24,kodim02,10,ectv_fidelity,0.3026315789473684,26.11493922447995,0.6456935405731201,0.7645854949951172,0.016340697184205055,0.31874731183052063,0.022310255095362663
jpeg_compression,kodak24,kodim02,20,ectv_fidelity,0.3877923976608187,27.678244189401347,0.6958413124084473,0.8379522562026978,0.014074524864554405,0.31874731183052063,0.024830427020788193
jpeg_compression,kodak24,kodim02,30,ectv_fidelity,0.4616228070175439,28.295761547428768,0.7192181944847107,0.8614662289619446,0.013218698091804981,0.31874731183052063,0.025152094662189484
jpeg_compression,kodak24,kodim02,50,ectv_fidelity,0.6017909356725146,28.768814823558152,0.7396371960639954,0.8806079030036926,0.012397636659443378,0.31874731183052063,0.02578408271074295
jpeg_compression,kodak24,kodim02,70,ectv_fidelity,0.8137792397660819,29.190819693861666,0.7545611262321472,0.890740692615509,0.011979318223893642,0.31874731183052063,0.026542983949184418
jpeg_compression,kodak24,kodim02,10,bilateral_val,0.29385964912280704,25.229004255313697,0.6269206404685974,0.6663400530815125,0.01841266080737114,0.31874731183052063,0.016787603497505188
jpeg_compression,kodak24,kodim02,20,bilateral_val,0.3656798245614035,26.027281196368676,0.657271683216095,0.7415417432785034,0.016426146030426025,0.31874731183052063,0.020656898617744446
jpeg_compression,kodak24,kodim02,30,bilateral_val,0.44974415204678364,26.452961813347752,0.6772972941398621,0.7748740315437317,0.015471331775188446,0.31874731183052063,0.022859785705804825
jpeg_compression,kodak24,kodim02,50,bilateral_val,0.6324926900584795,26.62176471605757,0.6864154934883118,0.8013116121292114,0.014537440612912178,0.31874731183052063,0.02648792415857315
jpeg_compression,kodak24,kodim02,70,bilateral_val,0.9298245614035088,26.770562536976964,0.6921812891960144,0.8095512390136719,0.014373425394296646,0.31874731183052063,0.03134896606206894
jpeg_compression,kodak24,kodim02,10,pm_diff_val,0.3163377192982456,26.094643728165487,0.6368799805641174,0.761000394821167,0.016386810690164566,0.31874731183052063,0.027298282831907272
jpeg_compression,kodak24,kodim02,20,pm_diff_val,0.43987573099415206,27.459568175670654,0.6656070351600647,0.8163806796073914,0.014833306893706322,0.31874731183052063,0.03247774764895439
jpeg_compression,kodak24,kodim02,30,pm_diff_val,0.5621345029239766,27.952803322266327,0.6781858801841736,0.8302576541900635,0.014603286050260067,0.31874731183052063,0.03416261449456215
