task,dataset,image,sigma255,method,edge_precision,edge_recall,edge_f1,edge_density,pred_edge_count,ref_edge_count,canny_sigma,canny_low,canny_high,tolerance_px,edge_f1_tol2
edge_extraction,kodak24,kodim01,50,ectv,0.7268829920910637,0.9053561144173545,0.8063622035908279,0.30905062134502925,13529.0,10418.0,1.0,0.1,0.2,1.0,0.9125733400554086
edge_extraction,kodak24,kodim01,50,ectv_fidelity,0.9505756809884863,0.3320215012478403,0.4921444846794181,0.08134594298245613,3561.0,10418.0,1.0,0.1,0.2,1.0,0.5637667001054468
edge_extraction,kodak24,kodim01,50,bilateral_val,0.801484550319351,0.4458629295450182,0.5729794710120619,0.13233278508771928,5793.0,10418.0,1.0,0.1,0.2,1.0,0.6836922461285655
edge_extraction,kodak24,kodim01,50,pm_diff_val,0.8396142762136999,0.7387214436552121,0.7859431455934156,0.20609466374269006,9022.0,10418.0,1.0,0.1,0.2,1.0,0.9035957557631393
edge_extraction,kodak24,kodim01,50,wavelet_bayes,0.8181967752550181,0.4852178921098099,0.6091748459804033,0.13884320175438597,6078.0,10418.0,1.0,0.1,0.2,1.0,0.749843180293345
edge_extraction,kodak24,kodim01,50,nlm,0.9540481400437637,0.25311960069111156,0.40009068516189267,0.06263706140350878,2742.0,10418.0,1.0,0.1,0.2,1.0,0.4600279890379973
edge_extraction,kodak24,kodim01,50,bm3d,0.9535680897475849,0.6171050105586485,0.7492986872664256,0.14661001461988304,6418.0,10418.0,1.0,0.1,0.2,1.0,0.8230842293903646
edge_extraction,kodak24,kodim01,50,fdncnn_color,0.9446733372572101,0.6419658283739681,0.7644435037677592,0.15524488304093567,6796.0,10418.0,1.0,0.1,0.2,1.0,0.8414189200672139
edge_extraction,kodak24,kodim01,50,ectv_fdncnn,0.9446733372572101,0.6419658283739681,0.7644435037677592,0.15524488304093567,6796.0,10418.0,1.0,0.1,0.2,1.0,0.8414189200672139
edge_extraction,kodak24,kodim02,25,noisy,0.2601531291611185,0.9471337579617835,0.40818767021496505,0.2744883040935672,12016.0,3140.0,1.0,0.1,0.2,1.0,0.4743294744678677
edge_extraction,kodak24,kodim02,25,tv_maxiter,0.8594003241491086,0.671656050955414,0.7540172096777131,0.05637792397660819,2468.0,3140.0,1.0,0.1,0.2,1.0,0.799023549189475
edge_extraction,kodak24,kodim02,25,tv_fixedk_val,0.8592233009708737,0.6745222929936305,0.7557515059147978,0.05646929824561404,2472.0,3140.0,1.0,0.1,0.2,1.0,0.8014096612391755
edge_extraction,kodak24,kodim02,25,tv_discrepancy,0.8594003241491086,0.671656050955414,0.7540172096777131,0.05637792397660819,2468.0,3140.0,1.0,0.1,0.2,1.0,0.799023549189475
edge_extraction,kodak24,kodim02,25,tv_chambolle_val,0.9699749791492911,0.3767515923566879,0.542707964144477,0.027389437134502925,1199.0,3140.0,1.0,0.1,0.2,1.0,0.5894493510062153
edge_extraction,kodak24,kodim02,25,ectv,0.3992106005074711,0.8792993630573248,0.5491167636632364,0.16205226608187134,7094.0,3140.0,1.0,0.1,0.2,1.0,0.6092703470246118
edge_extraction,kodak24,kodim02,25,ectv_fidelity,0.9720670391061452,0.5105095541401274,0.6694419876706624,0.03680098684210526,1611.0,3140.0,1.0,0.1,0.2,1.0,0.7125640041723226
edge_extraction,kodak24,kodim02,25,bilateral_val,0.7355263157894737,0.17993630573248406,0.2891388133622623,0.017361111111111112,760.0,3140.0,1.0,0.1,0.2,1.0,0.3146121716317443
edge_extraction,kodak24,kodim02,25,pm_diff_val,0.9108409321175278,0.5729299363057325,0.7034078486488886,0.04509320175438596,1974.0,3140.0,1.0,0.1,0.2,1.0,0.756923512422244
edge_extraction,kodak24,kodim02,25,wavelet_bayes,0.8944591029023746,0.4388535031847134,0.5888139195145716,0.03463084795321637,1516.0,3140.0,1.0,0.1,0.2,1.0,0.6564634402326981
edge_extraction,kodak24,kodim02,25,nlm,0.9610655737704918,0.30987261146496814,0.4686426178597616,0.0222953216374269,976.0,3140.0,1.0,0.1,0.2,1.0,0.50304801423228
edge_extraction,kodak24,kodim02,25,bm3d,0.9314629258517034,0.756687898089172,0.8350281426458624,0.056994700292397664,2495.0,3140.0,1.0,0.1,0.2,1.0,0.8632972987007859
edge_extraction,kodak24,kodim02,25,fdncnn_color,0.9179799426934098,0.835031847133758,0.8745434475995099,0.06377923976608187,2792.0,3140.0,1.0,0.1,0.2,1.0,0.9020550838582624
edge_extraction,kodak24,kodim02,25,ectv_fdncnn,0.9179799426934098,0.835031847133758,0.8745434475995099,0.06377923976608187,2792.0,3140.0,1.0,0.1,0.2,1.0,0.9020550838582624
edge_extraction,kodak24,kodim02,50,noisy,0.1975765946760422,0.9328025477707006,0.326085193848761,0.36385233918128657,15928.0,3140.0,1.0,0.1,0.2,1.0,0.4201223488209391
edge_extraction,kodak24,kodim02,50,tv_maxiter,0.21445204482608063,0.8939490445859872,0.3459202673347694,0.31391630116959063,13742.0,3140.0,1.0,0.1,0.2,1.0,0.43493417722002914
edge_extraction,kodak24,kodim02,50,tv_fixedk_val,0.21447818804165755,0.8939490445859872,0.34595427762966635,0.31366502192982454,13731.0,3140.0,1.0,0.1,0.2,1.0,0.43485235199263467
edge_extraction,kodak24,kodim02,50,tv_discrepancy,0.21445204482608063,0.8939490445859872,0.3459202673347694,0.31391630116959063,13742.0,3140.0,1.0,0.1,0.2,1.0,0.43493417722002914
edge_extraction,kodak24,kodim02,50,tv_chambolle_val,0.7756703727926749,0.3837579617834395,0.5134766374112208,0.03492781432748538,1529.0,3140.0,1.0,0.1,0.2,1.0,0.5907266117145924
edge_extraction,kodak24,kodim02,50,ectv,0.21445204482608063,0.8939490445859872,0.3459202673347694,0.31391630116959063,13742.0,3140.0,1.0,0.1,0.2,1.0,0.43493417722002914
