task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,temporal_residual_fluctuation,gamma,lambda,alpha,eta,accepted
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,ectv,24.231241176727817,0.6593658924102783,0.9445106983184814,0.025053730234503746,0.30192047357559204,0.22746656835079193,2,0.022264900000664056,0.07445392071945282,0.07445390522480011,0.7636462120215243,0.06937038153409958,0.04,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,ectv_fidelity,26.609506918536475,0.6908669471740723,0.9046523571014404,0.034567683935165405,0.30192047357559204,0.048514749854803085,80,0.22410040000067966,0.31619728928517676,0.25340572372078896,0.7636462120215243,0.0480639822781086,0.32,0.12,0.3333333333333333,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,tv_maxiter,27.80254122953764,0.77951580286026,0.9495897889137268,0.025433044880628586,0.30192047357559204,0.08053543418645859,20,0.058939599999575876,inf,0.22138503938913345,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,tv_fixedk_val,27.80050672231318,0.7788422703742981,0.9489918351173401,0.025614066049456596,0.30192047357559204,0.0803101658821106,40,0.11882970000078785,,0.22161030769348145,0.7636462120215243,0.04472934827208519,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,tv_discrepancy,27.80254122953764,0.77951580286026,0.9495897889137268,0.025433044880628586,0.30192047357559204,0.08053543418645859,20,0.05972670000119251,,0.22138503938913345,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,tv_chambolle_val,26.583356052313754,0.7231613993644714,0.9176596403121948,0.03241724893450737,0.30192047357559204,0.07118479162454605,0,0.007920199999716715,,,0.0,0.051212143152952194,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,gaussian_val,25.24469544176839,0.6937329173088074,0.8781936764717102,0.03399061784148216,0.30192047357559204,0.06376165896654129,0,0.00037939999856462236,,,0.0,0.05934227257966995,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,median_val,23.218960099004214,0.5170943737030029,0.7745585441589355,0.04128684476017952,0.30192047357559204,0.05947115272283554,0,0.0006476999988080934,,,0.0,0.06795336306095123,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,bilateral_val,26.429848808102104,0.7380948662757874,0.9412111639976501,0.026882750913500786,0.30192047357559204,0.11242855340242386,0,0.13390350000008766,,,0.0,0.04355308786034584,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,pm_diff_val,25.8570136313031,0.6875942349433899,0.904878556728363,0.03328433260321617,0.30192047357559204,0.057832732796669006,5,0.005916800000704825,,,0.0,0.056010328233242035,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,wavelet_bayes,26.490072188086394,0.7221500277519226,0.9446837306022644,0.023795314133167267,0.30192047357559204,0.12951919436454773,0,0.0034137000002374407,,,0.0,0.05161743238568306,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,nlm,27.613862137513273,0.72188401222229,0.9168851971626282,0.028420381247997284,0.30192047357559204,0.08091087639331818,0,0.041284799999630195,,,0.0,0.04282386973500252,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,bm3d,30.9745404025345,0.8898554444313049,0.9745696783065796,0.015508180484175682,0.30192047357559204,0.10443471372127533,0,1.4533842000000732,,,0.0,0.030562851577997208,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,fdncnn_color,31.227327973871173,0.8966753482818604,0.9767260551452637,0.014863269403576851,0.30192047357559204,0.10672562569379807,0,1.2301047000000835,,,0.0,0.0298819150775671,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,ectv_fdncnn,31.227327973871173,0.8966753482818604,0.9767260551452637,0.014863269403576851,0.30192047357559204,0.10672562569379807,0,1.2319686999999249,0.31619728928517676,0.19519484788179398,0.7636462120215243,0.0298819150775671,0.32,,0.3333333333333333,1.0,1.0
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,noisy,22.158495531257696,0.5806754231452942,0.9357306957244873,0.02996835857629776,0.3007315397262573,0.3007315397262573,0,0.0,0.0,0.0,0.0,0.08808248490095139,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,ectv,24.223609340624105,0.6604945063591003,0.9448279738426208,0.02504330314695835,0.3007315397262573,0.22627761960029602,2,0.023936699999467237,0.07445392071945282,0.0744539201259613,0.7636462120215243,0.06937038153409958,0.04,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,ectv_fidelity,26.63462893423187,0.6895387172698975,0.9049251675605774,0.03492523729801178,0.3007315397262573,0.047933030873537064,80,0.23407809999844176,0.31619728928517676,0.25279850885272026,0.7636462120215243,0.0480639822781086,0.32,0.12,0.3333333333333333,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,tv_maxiter,27.8056277908944,0.7790188193321228,0.9490582346916199,0.025784756988286972,0.3007315397262573,0.07948555052280426,20,0.059309899999789195,inf,0.22124598920345306,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,tv_fixedk_val,27.80320934301635,0.7783260941505432,0.948494017124176,0.025964558124542236,0.3007315397262573,0.07922447472810745,40,0.11847620000116876,,0.22150706499814987,0.7636462120215243,0.04472934827208519,,,,,
