task,dataset,image,sigma255,method,detector,keypoints_1,keypoints_2,matches,inliers,inlier_ratio,corner_error,homography_success
feature_matching,kodak24,kodim05,50,tv_chambolle_val,orb,405,457,150,147,0.98,4.3955888748168945,0.0
feature_matching,kodak24,kodim05,50,tv_chambolle_val,sift,316,301,150,114,0.76,0.8748716115951538,1.0
feature_matching,kodak24,kodim05,50,ectv,orb,536,551,150,149,0.9933333333333333,1.018984079360962,1.0
feature_matching,kodak24,kodim05,50,ectv,sift,700,700,150,110,0.7333333333333333,0.3004729151725769,1.0
feature_matching,kodak24,kodim05,50,ectv_fidelity,orb,469,488,150,149,0.9933333333333333,3.7972590923309326,0.0
feature_matching,kodak24,kodim05,50,ectv_fidelity,sift,358,363,150,130,0.8666666666666667,0.8505740165710449,1.0
feature_matching,kodak24,kodim05,50,bilateral_val,orb,415,447,150,146,0.9733333333333334,1.7851723432540894,1.0
feature_matching,kodak24,kodim05,50,bilateral_val,sift,170,189,92,60,0.6521739130434783,2.186962604522705,1.0
feature_matching,kodak24,kodim05,50,pm_diff_val,orb,526,542,150,150,1.0,0.9252030849456787,1.0
feature_matching,kodak24,kodim05,50,pm_diff_val,sift,642,674,150,143,0.9533333333333334,0.6272375583648682,1.0
feature_matching,kodak24,kodim05,50,wavelet_bayes,orb,509,535,150,147,0.98,3.0782127380371094,0.0
feature_matching,kodak24,kodim05,50,wavelet_bayes,sift,406,408,150,86,0.5733333333333334,0.9501442313194275,1.0
feature_matching,kodak24,kodim05,50,nlm,orb,432,460,150,149,0.9933333333333333,1.5745835304260254,1.0
feature_matching,kodak24,kodim05,50,nlm,sift,290,278,139,99,0.7122302158273381,1.4195301532745361,1.0
feature_matching,kodak24,kodim05,50,bm3d,orb,531,539,150,150,1.0,1.6676733493804932,1.0
feature_matching,kodak24,kodim05,50,bm3d,sift,554,594,150,137,0.9133333333333333,0.36026060581207275,1.0
feature_matching,kodak24,kodim05,50,fdncnn_color,orb,526,544,150,150,1.0,0.8837808966636658,1.0
feature_matching,kodak24,kodim05,50,fdncnn_color,sift,554,548,150,144,0.96,0.23386389017105103,1.0
feature_matching,kodak24,kodim05,50,ectv_fdncnn,orb,526,544,150,150,1.0,0.8837808966636658,1.0
feature_matching,kodak24,kodim05,50,ectv_fdncnn,sift,554,548,150,144,0.96,0.23386389017105103,1.0
