task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
real_camera,polyu_full,NikonD800_5-6_160_6400_wall_9,1.231067526651843,-1,ectv_fdncnn,39.20112119895017,0.9231207370758056,0.97288316488266,0.0068354634568095,0.0300342515110969,0.0300148725509643,0,1.9557243999988716,1.9380320406364662e-05,1.937896013259888e-05,0.9987890469750632,0.32,,0.3333333333333333,0.0047521591186523,0.0
real_camera,polyu_full,NikonD800_5_100_4000_flower_12,0.6028234834175161,-1,noisy,40.163363197857336,0.9651456475257874,0.986532747745514,0.0038929628208279,0.0309576094150543,0.0309576094150543,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_12,0.6028234834175161,-1,fdncnn_color,40.405849887621805,0.9685685634613036,0.9871838688850404,0.0037697039078921,0.0309576094150543,0.0297572258859872,0,1.946041299999706,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_12,0.6028234834175161,-1,ectv_fdncnn,40.16363107016304,0.965148627758026,0.9865337014198304,0.0038928305730223,0.0309576094150543,0.0309562906622886,0,1.9861526000004237,1.3192249822990731e-06,1.3187527656555176e-06,0.999709367578223,0.32,,0.3333333333333333,0.0009476542472839,0.0
real_camera,polyu_full,NikonD800_5_100_4000_flower_13,1.5409721855386018,-1,noisy,35.838336996772725,0.9499568939208984,0.9840372800827026,0.007465539034456,0.0664597898721695,0.0664597898721695,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_13,1.5409721855386018,-1,fdncnn_color,36.309954632819135,0.9614176154136658,0.9848418831825256,0.0070225419476628,0.0664597898721695,0.0627335757017135,0,1.905525199999829,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_13,1.5409721855386018,-1,ectv_fdncnn,35.84429097793543,0.9501101970672609,0.9840485453605652,0.0074597843922674,0.0664597898721695,0.0664149522781372,0,1.9470191999989763,4.484259037137736e-05,4.48375940322876e-05,0.9981039279824712,0.32,,0.3333333333333333,0.0103365182876586,0.0
real_camera,polyu_full,NikonD800_5_100_4000_flower_14,1.1979600559211594,-1,noisy,37.138711713853056,0.96461683511734,0.989842653274536,0.0066408673301339,0.062316607683897,0.062316607683897,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_14,1.1979600559211594,-1,fdncnn_color,37.54349507893966,0.9714354872703552,0.9903415441513062,0.0063305920921266,0.062316607683897,0.059789091348648,0,1.9298577000008663,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_14,1.1979600559211594,-1,ectv_fdncnn,37.14160849355765,0.9646664261817932,0.9898463487625122,0.0066387131810188,0.062316607683897,0.0622991099953651,0,1.971530100001473,1.7499721769412737e-05,1.749768853187561e-05,0.9988532304581734,0.32,,0.3333333333333333,0.0058763027191162,0.0
real_camera,polyu_full,NikonD800_5_100_4000_flower_15,1.4494979163219237,-1,noisy,36.19745771212913,0.9498414993286132,0.9826564192771912,0.0070128487423062,0.0617997646331787,0.0617997646331787,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_15,1.4494979163219237,-1,fdncnn_color,36.66297123605917,0.9609591364860536,0.9835742115974426,0.0065820054151117,0.0617997646331787,0.0582051128149032,0,1.908563400000276,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_15,1.4494979163219237,-1,ectv_fdncnn,36.20230950569415,0.9499640464782716,0.9826676845550536,0.0070081534795463,0.0617997646331787,0.0617640763521194,0,1.9505101000013385,3.5688941542860884e-05,3.568828105926514e-05,0.9983219866768483,0.32,,0.3333333333333333,0.0086007118225097,0.0
real_camera,polyu_full,NikonD800_5_100_4000_flower_1,1.4941258653060867,-1,noisy,35.88959511915257,0.9505752921104432,0.9848920106887816,0.0072776610031723,0.0658336654305458,0.0658336654305458,0,0.0,0.0,0.0,0.0,,,,,
