task,dataset,image,sigma255,seed,ablation,method,p,lambda,gamma,mapping,iterations,runtime,budget,removed,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output
ablation,kodak24,kodim02,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.02,linear_clip,2.0,0.02432549999866751,0.10629073343725301,0.10629071295261383,23.206067343075162,0.3397500216960907,0.753304660320282,0.03457721695303917,0.31874731183052063,0.2124565988779068
ablation,kodak24,kodim02,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.04,linear_clip,6.0,0.0378554000017175,0.21258146687450602,0.21258146315813065,27.046462607189493,0.5285587906837463,0.8244112133979797,0.021318167448043823,0.31874731183052063,0.10616584867238998
ablation,kodak24,kodim02,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.08,linear_clip,21.0,0.0667849000019487,0.3333333333333333,0.25426021963357925,29.435387571852175,0.683664083480835,0.8861150145530701,0.013501209206879139,0.31874731183052063,0.06448709219694138
ablation,kodak24,kodim02,25,0,stopping,ectv_budget,0.6839397205857212,0.08,0.04,tanh,5.0,0.03352240000094753,0.18778726146140717,0.1877872496843338,25.96697930315316,0.469155877828598,0.8013163208961487,0.02496941015124321,0.31874731183052063,0.13096006214618683
ablation,kodak24,kodim02,25,0,stopping,tv_fixedk_val,0.6839397205857212,0.08,0.04,tanh,40.0,0.12494359999982407,inf,0.25456109642982483,29.501559010760452,0.6879116892814636,0.8874514698982239,0.013376390561461449,0.31874731183052063,0.0641862154006958
ablation,kodak24,kodim02,25,0,stopping,tv_discrepancy,0.6839397205857212,0.08,0.04,tanh,21.0,0.06806489999871701,inf,0.25426021963357925,29.435387571852175,0.683664083480835,0.8861150145530701,0.013501209206879139,0.31874731183052063,0.06448709219694138
ablation,kodak24,kodim02,25,0,stopping,tv_maxiter,0.6839397205857212,0.08,0.04,tanh,21.0,0.062002899998333305,inf,0.25426021963357925,29.435387571852175,0.683664083480835,0.8861150145530701,0.013501209206879139,0.31874731183052063,0.06448709219694138
ablation,kodak24,kodim02,25,0,stopping,tv_chambolle_val,0.6839397205857212,0.08,0.04,validation,0.0,0.013156599998183083,,0.28981188125908375,30.094884164906752,0.7704538702964783,0.8675374388694763,0.01295255497097969,0.31874731183052063,0.028935430571436882
ablation,kodak24,kodim02,25,0,stopping,tv_oracle,0.6839397205857212,0.08,0.04,clean_reference,40.0,0.9053714999972726,inf,0.25456109642982483,29.501559010760452,0.6879116892814636,0.8874514698982239,0.013376390561461449,0.31874731183052063,0.0641862154006958
ablation,kodak24,kodim03,25,0,p_sweep,ectv,0.55,0.08,0.04,tanh,21.0,0.05839710000145715,0.3333333331062497,0.25394008308649063,29.21064227310235,0.7077364325523376,0.9284785389900208,0.015399354510009289,0.3265019357204437,0.0725618526339531
