task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
synthetic_image,kodak24,kodim18,25.0,0,ectv_fdncnn,29.44378799371688,0.8360360264778137,0.948712170124054,0.0180782377719879,0.3397057652473449,0.0717029273509979,0,1.3691474000006565,0.333308650746332,0.268002837896347,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim19,25.0,0,noisy,20.26793138335912,0.3540754318237304,0.8786724805831909,0.0405574813485145,0.3461789488792419,0.3461789488792419,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim19,25.0,0,fdncnn_color,31.955956511436785,0.8698620796203613,0.9757922887802124,0.0129169803112745,0.3461789488792419,0.06907369941473,0,1.2394332999992912,,,0.0,,,,,
synthetic_image,kodak24,kodim19,25.0,0,ectv_fdncnn,31.955956511436785,0.8698620796203613,0.9757922887802124,0.0129169803112745,0.3461789488792419,0.06907369941473,0,1.242196999999578,0.333308650746332,0.2771052494645118,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim20,25.0,0,noisy,21.389242213722248,0.3517024219036102,0.8895676732063293,0.0350971557199955,0.279439240694046,0.279439240694046,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim20,25.0,0,fdncnn_color,29.914492334948257,0.9308895468711852,0.9812850952148438,0.00858043320477,0.279439240694046,0.0460244007408618,0,1.271242999999231,,,0.0,,,,,
synthetic_image,kodak24,kodim20,25.0,0,ectv_fdncnn,29.914492334948257,0.9308895468711852,0.9812850952148438,0.00858043320477,0.279439240694046,0.0460244007408618,0,1.2738112999995792,0.333308650746332,0.2334148399531841,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim21,25.0,0,noisy,20.240751262418527,0.3866927623748779,0.8721193075180054,0.0424216501414775,0.3459122776985168,0.3459122776985168,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim21,25.0,0,fdncnn_color,31.0582180750937,0.9099003672599792,0.9725511074066162,0.0127410180866718,0.3459122776985168,0.070104070007801,0,1.207439699999668,,,0.0,,,,,
synthetic_image,kodak24,kodim21,25.0,0,ectv_fdncnn,31.0582180750937,0.9099003672599792,0.9725511074066162,0.0127410180866718,0.3459122776985168,0.070104070007801,0,1.2099870000001829,0.333308650746332,0.2758082076907158,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim22,25.0,0,noisy,20.244717248635588,0.3452346324920654,0.8291034698486328,0.0401342213153839,0.3359944224357605,0.3359944224357605,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim22,25.0,0,fdncnn_color,30.81855996819556,0.8316112160682678,0.9413231611251832,0.0140721257776021,0.3359944224357605,0.0521354079246521,0,1.2023804000000382,,,0.0,,,,,
synthetic_image,kodak24,kodim22,25.0,0,ectv_fdncnn,30.81855996819556,0.8316112160682678,0.9413231611251832,0.0140721257776021,0.3359944224357605,0.0521354079246521,0,1.2048875000000407,0.333308650746332,0.2838590145111084,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim23,25.0,0,noisy,20.36068275245688,0.3317787647247314,0.8055645823478699,0.0422110967338085,0.3287602663040161,0.3287602663040161,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim23,25.0,0,fdncnn_color,32.717157201891595,0.9091816544532776,0.9681881070137024,0.0093144904822111,0.3287602663040161,0.0491313934326171,0,1.1827711000005363,,,0.0,,,,,
synthetic_image,kodak24,kodim23,25.0,0,ectv_fdncnn,32.717157201891595,0.9091816544532776,0.9681881070137024,0.0093144904822111,0.3287602663040161,0.0491313934326171,0,1.1855213999988337,0.333308650746332,0.2796288728713989,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim24,25.0,0,noisy,20.333764988745155,0.4602055847644806,0.8953266143798828,0.0378256626427173,0.3455153405666351,0.3455153405666351,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim24,25.0,0,fdncnn_color,29.672570968306697,0.8713772296905518,0.9646835327148438,0.01655506901443,0.3455153405666351,0.0821043625473976,0,1.2044580999991013,,,0.0,,,,,
synthetic_image,kodak24,kodim24,25.0,0,ectv_fdncnn,29.672570968306697,0.8713772296905518,0.9646835327148438,0.01655506901443,0.3455153405666351,0.0821043625473976,0,1.2072923999985503,0.333308650746332,0.2634109780192375,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim01,25.0,0,drunet_color,30.70468489938689,0.8869403004646301,0.9724442528096304,0.0161070600152015,0.3574408888816833,0.0998281985521316,0,0.4179226999985985,,0.2576126903295517,0.0,,,,,
synthetic_image,kodak24,kodim01,25.0,0,ectv_drunet,30.70468489938689,0.8869403004646301,0.9724442528096304,0.0161070600152015,0.3574408888816833,0.0998281985521316,0,0.42534699999851,0.333308650746332,0.2576126903295517,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim02,25.0,0,drunet_color,33.67824962470011,0.863166093826294,0.9451610252194405,0.0087550925090909,0.3187473118305206,0.0337616614997386,0,0.3931761000003462,,0.2849856503307819,0.0,,,,,
synthetic_image,kodak24,kodim02,25.0,0,ectv_drunet,33.67824962470011,0.863166093826294,0.9451610252194405,0.0087550925090909,0.3187473118305206,0.0337616614997386,0,0.3994160999991436,0.333308650746332,0.2849856503307819,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim03,25.0,0,drunet_color,34.59390998248913,0.9226729273796082,0.973086184564993,0.0084858387708663,0.3265019357204437,0.0373486503958702,0,0.3966497999990679,,0.2891532853245735,0.0,,,,,
synthetic_image,kodak24,kodim03,25.0,0,ectv_drunet,34.59390998248913,0.9226729273796082,0.973086184564993,0.0084858387708663,0.3265019357204437,0.0373486503958702,0,0.4030384999987291,0.333308650746332,0.2891532853245735,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim04,25.0,0,drunet_color,33.28745384787163,0.8871338963508606,0.9710091207741904,0.0101639600470662,0.3333169519901275,0.0514710135757923,0,0.4130634000011923,,0.2818459384143352,0.0,,,,,
synthetic_image,kodak24,kodim04,25.0,0,ectv_drunet,33.28745384787163,0.8871338963508606,0.9710091207741904,0.0101639600470662,0.3333169519901275,0.0514710135757923,0,0.4183314000001701,0.333308650746332,0.2818459384143352,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim05,25.0,0,drunet_color,28.81716754365315,0.8973280787467957,0.9782820864171872,0.0198129173368215,0.3711698949337005,0.1341451406478881,0,0.3871163000003434,,0.2370247542858123,0.0,,,,,
synthetic_image,kodak24,kodim05,25.0,0,ectv_drunet,28.81716754365315,0.8973280787467957,0.9782820864171872,0.0198129173368215,0.3711698949337005,0.1341451406478881,0,0.3933992000002035,0.333308650746332,0.2370247542858123,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim06,25.0,0,drunet_color,31.23750877533777,0.8582876324653625,0.968261342285304,0.0134250167757272,0.3347497880458832,0.0633789896965026,0,0.3932817999993858,,0.2713707983493805,0.0,,,,,
synthetic_image,kodak24,kodim06,25.0,0,ectv_drunet,31.23750877533777,0.8582876324653625,0.968261342285304,0.0134250167757272,0.3347497880458832,0.0633789896965026,0,0.3999733999989985,0.333308650746332,0.2713707983493805,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim07,25.0,0,drunet_color,32.08126825860159,0.940473973751068,0.9753364755403028,0.0120532317087054,0.3469018936157226,0.0837548449635505,0,0.3949500000016996,,0.2631470486521721,0.0,,,,,
synthetic_image,kodak24,kodim07,25.0,0,ectv_drunet,32.08126825860159,0.940473973751068,0.9753364755403028,0.0120532317087054,0.3469018936157226,0.0837548449635505,0,0.4034811000001355,0.333308650746332,0.2631470486521721,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim08,25.0,0,drunet_color,30.061372817820686,0.9336786270141602,0.9881594976537076,0.0172664988785982,0.3905345499515533,0.1635385900735855,0,0.3995733000010659,,0.2269959598779678,0.0,,,,,
synthetic_image,kodak24,kodim08,25.0,0,ectv_drunet,30.061372817820686,0.9336786270141602,0.9881594976537076,0.0172664988785982,0.3905345499515533,0.1635385900735855,0,0.4058552000024065,0.333308650746332,0.2269959598779678,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim09,25.0,0,drunet_color,33.88398612888658,0.9375837445259094,0.9791061503836592,0.0090681733563542,0.341338962316513,0.0542331263422966,0,0.388498399999662,,0.2871058359742164,0.0,,,,,
synthetic_image,kodak24,kodim09,25.0,0,ectv_drunet,33.88398612888658,0.9375837445259094,0.9791061503836592,0.0090681733563542,0.341338962316513,0.0542331263422966,0,0.3937640999993164,0.333308650746332,0.2871058359742164,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim10,25.0,0,drunet_color,33.22255754659723,0.9203984141349792,0.97258755974878,0.0107393935322761,0.3377695679664612,0.0523490086197853,0,0.3921431999988272,,0.2854205593466759,0.0,,,,,
synthetic_image,kodak24,kodim10,25.0,0,ectv_drunet,33.22255754659723,0.9203984141349792,0.97258755974878,0.0107393935322761,0.3377695679664612,0.0523490086197853,0,0.3974312999980611,0.333308650746332,0.2854205593466759,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim11,25.0,0,drunet_color,31.82950796282888,0.8809397220611572,0.9707953103261594,0.0127354618161916,0.3348336815834045,0.0621809475123882,0,0.3937177000007068,,0.2726527340710163,0.0,,,,,
synthetic_image,kodak24,kodim11,25.0,0,ectv_drunet,31.82950796282888,0.8809397220611572,0.9707953103261594,0.0127354618161916,0.3348336815834045,0.0621809475123882,0,0.4001327999994828,0.333308650746332,0.2726527340710163,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim12,25.0,0,drunet_color,34.09726438701069,0.8916274905204773,0.9791442217482133,0.0097139840945601,0.3317552208900451,0.0397787764668464,0,0.3888492000005499,,0.2919764444231987,0.0,,,,,
synthetic_image,kodak24,kodim12,25.0,0,ectv_drunet,34.09726438701069,0.8916274905204773,0.9791442217482133,0.0097139840945601,0.3317552208900451,0.0397787764668464,0,0.3950872000004892,0.333308650746332,0.2919764444231987,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim13,25.0,0,drunet_color,28.775130553204868,0.8460330963134766,0.964590453123851,0.020251490175724,0.3623003959655761,0.1094032451510429,0,0.3977185000003373,,0.2528971508145332,0.0,,,,,
synthetic_image,kodak24,kodim13,25.0,0,ectv_drunet,28.775130553204868,0.8460330963134766,0.964590453123851,0.020251490175724,0.3623003959655761,0.1094032451510429,0,0.4059624999990774,0.333308650746332,0.2528971508145332,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim14,25.0,0,drunet_color,29.89522440929184,0.8680219650268555,0.9643869070091804,0.0169538389891386,0.3466903269290924,0.088519349694252,0,0.3977370000011433,,0.2581709772348404,0.0,,,,,
synthetic_image,kodak24,kodim14,25.0,0,ectv_drunet,29.89522440929184,0.8680219650268555,0.9643869070091804,0.0169538389891386,0.3466903269290924,0.088519349694252,0,0.4040702000020246,0.333308650746332,0.2581709772348404,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim15,25.0,0,drunet_color,32.438546933514374,0.9122188687324524,0.9857677285688632,0.0096076875925064,0.3170394599437713,0.0509304478764534,0,0.39440839999952,,0.2661090120673179,0.0,,,,,
synthetic_image,kodak24,kodim15,25.0,0,ectv_drunet,32.438546933514374,0.9122188687324524,0.9857677285688632,0.0096076875925064,0.3170394599437713,0.0509304478764534,0,0.4007782000007864,0.333308650746332,0.2661090120673179,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim16,25.0,0,drunet_color,33.60867596705536,0.8755711913108826,0.9427217331259522,0.0113639468327164,0.3292142152786255,0.0379563756287097,0,0.3934819000005518,,0.2912578396499157,0.0,,,,,
synthetic_image,kodak24,kodim16,25.0,0,ectv_drunet,33.60867596705536,0.8755711913108826,0.9427217331259522,0.0113639468327164,0.3292142152786255,0.0379563756287097,0,0.4001768000016454,0.333308650746332,0.2912578396499157,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim17,25.0,0,drunet_color,31.77711009401071,0.8881791234016418,0.96601445486176,0.0139663079753518,0.3247833549976349,0.0612673908472061,0,0.4000032000003557,,0.2635159641504287,0.0,,,,,
synthetic_image,kodak24,kodim17,25.0,0,ectv_drunet,31.77711009401071,0.8881791234016418,0.96601445486176,0.0139663079753518,0.3247833549976349,0.0612673908472061,0,0.4056750000017928,0.333308650746332,0.2635159641504287,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim18,25.0,0,drunet_color,29.7938838873452,0.8465049862861633,0.9514414700941046,0.0175320692360401,0.3397057652473449,0.0713119730353355,0,0.4030163000006723,,0.2683937922120094,0.0,,,,,
synthetic_image,kodak24,kodim18,25.0,0,ectv_drunet,29.7938838873452,0.8465049862861633,0.9514414700941046,0.0175320692360401,0.3397057652473449,0.0713119730353355,0,0.4083394000008411,0.333308650746332,0.2683937922120094,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim19,25.0,0,drunet_color,32.75644855019304,0.8858512043952942,0.9786355193560194,0.0121200047433376,0.3461789488792419,0.07003203779459,0,0.4005624000001262,,0.2761469110846519,0.0,,,,,
synthetic_image,kodak24,kodim19,25.0,0,ectv_drunet,32.75644855019304,0.8858512043952942,0.9786355193560194,0.0121200047433376,0.3461789488792419,0.07003203779459,0,0.4077885000006063,0.333308650746332,0.2761469110846519,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim20,25.0,0,drunet_color,30.19099834679464,0.9368436336517334,0.983551917472185,0.0079286014661192,0.279439240694046,0.0461179129779338,0,0.411496900000202,,0.2333213277161121,0.0,,,,,
synthetic_image,kodak24,kodim20,25.0,0,ectv_drunet,30.19099834679464,0.9368436336517334,0.983551917472185,0.0079286014661192,0.279439240694046,0.0461179129779338,0,0.4178083999995579,0.333308650746332,0.2333213277161121,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim21,25.0,0,drunet_color,31.39266115289617,0.91523414850235,0.9733032181222652,0.0125218285247683,0.3459122776985168,0.0693000853061676,0,0.396450599999298,,0.2766121923923492,0.0,,,,,
synthetic_image,kodak24,kodim21,25.0,0,ectv_drunet,31.39266115289617,0.91523414850235,0.9733032181222652,0.0125218285247683,0.3459122776985168,0.0693000853061676,0,0.4045887999982369,0.333308650746332,0.2766121923923492,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim22,25.0,0,drunet_color,31.357076492439795,0.8477895259857178,0.9485410560987104,0.0131793608888983,0.3359944224357605,0.0531821101903915,0,0.3966663999999582,,0.2828123122453689,0.0,,,,,
